## 1.1.1
## cov0=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/aln-pe_sorted.bam.cov
## cov1=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/aln-unpaired_sorted.bam.cov
## covsum=Sum of cov in blobDB.json
## spades=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/contigs.fasta
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p	cov1_mean	cov1_std	cov1_read_map	cov1_read_map_p	covsum_mean	covsum_std	covsum_read_map	covsum_read_map_p	spades_mean	spades_std	spades_read_map	spades_read_map_p
Methylorubrum extorquens	None	2	100.0%	8,671	100.0%	5,055	0.0	0.0	7.1	0.3	527	0.0%	0.1	0.0	1	0.0%	9.6	0.4	528	0.0%	2.4	0.1	0	0.0%
Stella humosa	None	1	100.0%	7,209	100.0%	7,209	0.0	0.0	6.3	0.0	397	0.0%	0.1	0.0	0	0.0%	8.6	0.0	397	0.0%	2.1	0.0	0	0.0%
Paramecium caudatum	None	29	100.0%	172,521	100.0%	13,939	0.0	0.0	180.7	340.3	922,570	0.0%	0.2	0.2	568	0.0%	242.5	446.3	923,138	0.0%	61.6	105.9	0	0.0%
Azorhizobium-undef	None	4	100.0%	13,300	100.0%	4,207	0.0	0.0	6.7	1.0	821	0.0%	0.1	0.0	0	0.0%	9.1	1.2	821	0.0%	2.3	0.2	0	0.0%
Klebsiella oxytoca	None	1	100.0%	249	100.0%	249	0.0	0.0	1.4	0.0	3	0.0%	0.1	0.0	0	0.0%	2.2	0.0	3	0.0%	0.7	0.0	0	0.0%
Shinella sp. HZN7	None	1	100.0%	22,741	100.0%	22,741	0.0	0.0	7.3	0.0	1,437	0.0%	0.1	0.0	1	0.0%	9.8	0.0	1,438	0.0%	2.4	0.0	0	0.0%
Ficedula albicollis	None	1	100.0%	277	100.0%	277	0.0	0.0	2.5	0.0	6	0.0%	0.1	0.0	0	0.0%	3.1	0.0	6	0.0%	0.5	0.0	0	0.0%
Encephalitozoon romaleae	None	2	100.0%	3,407	100.0%	2,823	0.0	0.0	71.0	26.1	1,592	0.0%	0.1	0.0	3	0.0%	96.5	36.6	1,595	0.0%	25.4	10.4	0	0.0%
Plasmodium yoelii	None	1	100.0%	661	100.0%	661	0.0	0.0	12.0	0.0	69	0.0%	0.1	0.0	0	0.0%	16.2	0.0	69	0.0%	4.1	0.0	0	0.0%
Rhizobium-undef	None	1	100.0%	2,163	100.0%	2,163	0.0	0.0	6.2	0.0	116	0.0%	0.1	0.0	0	0.0%	8.4	0.0	116	0.0%	2.2	0.0	0	0.0%
Azorhizobium caulinodans	None	14	100.0%	251,567	100.0%	36,383	0.0	0.0	7.3	0.9	17,060	0.0%	0.1	0.0	24	0.0%	9.8	1.2	17,084	0.0%	2.4	0.3	0	0.0%
Bosea sp. ANAM02	None	5	100.0%	1,334	100.0%	267	0.0	0.0	1.5	0.2	17	0.0%	0.1	0.0	0	0.0%	2.2	0.2	17	0.0%	0.7	0.1	0	0.0%
bacterium BMS3Bbin10	None	1	100.0%	49,634	100.0%	49,634	0.0	0.0	8.5	0.0	3,680	0.0%	0.1	0.0	3	0.0%	11.5	0.0	3,683	0.0%	2.8	0.0	0	0.0%
Aeromicrobium sp. Leaf245	None	1	100.0%	258	100.0%	258	0.0	0.0	1.8	0.0	4	0.0%	0.1	0.0	0	0.0%	2.7	0.0	4	0.0%	0.8	0.0	0	0.0%
Paramecium multimicronucleatum	None	1	100.0%	840	100.0%	840	0.0	0.0	97.8	0.0	713	0.0%	0.1	0.0	1	0.0%	132.0	0.0	714	0.0%	34.0	0.0	0	0.0%
Bosea robiniae	None	5	100.0%	1,392	100.0%	280	0.0	0.0	1.8	0.4	22	0.0%	0.1	0.0	0	0.0%	2.7	0.5	22	0.0%	0.8	0.1	0	0.0%
Azorhizobium sp. 12-66-6	None	2	100.0%	16,855	100.0%	13,195	0.0	0.0	7.4	0.1	1,066	0.0%	0.1	0.0	4	0.0%	9.9	0.2	1,070	0.0%	2.5	0.1	0	0.0%
Gossypium australe	None	1	100.0%	560	100.0%	560	0.0	0.0	57.0	0.0	277	0.0%	0.2	0.0	1	0.0%	89.2	0.0	278	0.0%	32.0	0.0	0	0.0%
Encephalitozoon hellem	None	1	100.0%	4,564	100.0%	4,564	0.0	0.0	89.2	0.0	3,531	0.0%	0.1	0.0	4	0.0%	113.5	0.0	3,535	0.0%	24.2	0.0	0	0.0%
Labrys neptuniae	None	1	100.0%	3,165	100.0%	3,165	0.0	0.0	6.7	0.0	183	0.0%	0.1	0.0	0	0.0%	9.0	0.0	183	0.0%	2.3	0.0	0	0.0%
Oceanibacterium hippocampi	None	1	100.0%	17,148	100.0%	17,148	0.0	0.0	57.9	0.0	8,617	0.0%	0.1	0.0	5	0.0%	77.3	0.0	8,622	0.0%	19.3	0.0	0	0.0%
Rhizobiales bacterium 2SD	None	1	100.0%	286	100.0%	286	0.0	0.0	1.2	0.0	3	0.0%	0.1	0.0	0	0.0%	1.8	0.0	3	0.0%	0.5	0.0	0	0.0%
Azorhizobium sp. 32-67-21	None	6	100.0%	93,900	100.0%	28,018	0.0	0.0	7.1	0.9	6,150	0.0%	0.1	0.0	6	0.0%	9.6	1.1	6,156	0.0%	2.4	0.3	0	0.0%
Bosea sp. AS-1	None	1	100.0%	233	100.0%	233	0.0	0.0	2.0	0.0	4	0.0%	0.1	0.0	0	0.0%	3.1	0.0	4	0.0%	1.0	0.0	0	0.0%
Chelatococcus asaccharovorans	None	1	100.0%	3,019	100.0%	3,019	0.0	0.0	7.7	0.0	203	0.0%	0.1	0.0	0	0.0%	10.5	0.0	203	0.0%	2.7	0.0	0	0.0%
Beijerinckia sp. 28-YEA-48	None	1	100.0%	3,771	100.0%	3,771	0.0	0.0	6.6	0.0	217	0.0%	0.1	0.0	0	0.0%	9.0	0.0	217	0.0%	2.3	0.0	0	0.0%
Xanthobacter sp. SG618	None	4	100.0%	114,772	100.0%	67,320	0.0	0.0	7.0	0.9	7,663	0.0%	0.1	0.0	6	0.0%	9.4	1.1	7,669	0.0%	2.4	0.3	0	0.0%
Bosea sp. DSM 18164	None	1	100.0%	322	100.0%	322	0.0	0.0	1.4	0.0	4	0.0%	0.1	0.0	0	0.0%	2.0	0.0	4	0.0%	0.4	0.0	0	0.0%
Sinorhizobium meliloti	None	1	100.0%	685	100.0%	685	0.0	0.0	5.0	0.0	30	0.0%	0.1	0.0	0	0.0%	7.0	0.0	30	0.0%	1.8	0.0	0	0.0%
Xanthobacter autotrophicus	None	10	100.0%	55,080	100.0%	13,276	0.0	0.0	6.7	0.7	3,336	0.0%	0.1	0.0	7	0.0%	9.2	0.9	3,343	0.0%	2.3	0.2	0	0.0%
Tardiphaga sp. P9-11	None	1	100.0%	17,765	100.0%	17,765	0.0	0.0	7.1	0.0	1,101	0.0%	0.1	0.0	2	0.0%	9.7	0.0	1,103	0.0%	2.4	0.0	0	0.0%
Tupanvirus soda lake	None	1	100.0%	9,296	100.0%	9,296	0.0	0.0	9.6	0.0	774	0.0%	0.1	0.0	1	0.0%	12.7	0.0	775	0.0%	3.0	0.0	0	0.0%
Plasmodiophora brassicae	None	1	100.0%	974	100.0%	974	0.0	0.0	63.1	0.0	533	0.0%	0.1	0.0	1	0.0%	87.4	0.0	534	0.0%	24.2	0.0	0	0.0%
Methylorubrum populi	None	1	100.0%	2,974	100.0%	2,974	0.0	0.0	7.0	0.0	180	0.0%	0.1	0.0	1	0.0%	9.5	0.0	181	0.0%	2.4	0.0	0	0.0%
Micractinium conductrix	None	1	100.0%	6,192	100.0%	6,192	0.0	0.0	143.1	0.0	7,686	0.0%	0.1	0.0	6	0.0%	190.7	0.0	7,692	0.0%	47.5	0.0	0	0.0%
Rhizobiales bacterium 12-68-15	None	17	100.0%	176,546	100.0%	15,346	0.0	0.0	7.1	1.0	11,526	0.0%	0.1	0.0	9	0.0%	9.7	1.3	11,535	0.0%	2.4	0.3	0	0.0%
Komagataeibacter xylinus	None	1	100.0%	4,858	100.0%	4,858	0.0	0.0	7.1	0.0	298	0.0%	0.1	0.0	0	0.0%	9.5	0.0	298	0.0%	2.3	0.0	0	0.0%
Pseudomonas virus Noxifer	None	1	100.0%	1,377	100.0%	1,377	0.0	0.0	49.0	0.0	586	0.0%	0.1	0.0	0	0.0%	65.5	0.0	586	0.0%	16.4	0.0	0	0.0%
Lupinus albus	None	3	100.0%	69,316	100.0%	45,427	0.0	0.0	14.4	9.6	5,742	0.0%	0.1	0.0	11	0.0%	19.3	12.8	5,753	0.0%	4.8	3.2	0	0.0%
Microvirga massiliensis	None	1	100.0%	15,922	100.0%	15,922	0.0	0.0	6.8	0.0	934	0.0%	0.1	0.0	1	0.0%	9.1	0.0	935	0.0%	2.3	0.0	0	0.0%
Rhizobium rhizosphaerae	None	1	100.0%	2,654	100.0%	2,654	0.0	0.0	6.5	0.0	149	0.0%	0.1	0.0	1	0.0%	8.8	0.0	150	0.0%	2.2	0.0	0	0.0%
Sinorhizobium sp. RAC02	None	1	100.0%	46,552	100.0%	46,552	0.0	0.0	8.4	0.0	3,409	0.0%	0.1	0.0	4	0.0%	11.4	0.0	3,413	0.0%	2.8	0.0	0	0.0%
Bosea sp. TND4EK4	None	2	100.0%	20,925	100.0%	11,829	0.0	0.0	7.5	0.1	1,363	0.0%	0.1	0.0	2	0.0%	10.1	0.1	1,365	0.0%	2.5	0.0	0	0.0%
Azospirillum halopraeferens	None	1	100.0%	1,272	100.0%	1,272	0.0	0.0	5.9	0.0	65	0.0%	0.1	0.0	0	0.0%	8.1	0.0	65	0.0%	2.1	0.0	0	0.0%
Pseudomonas aeruginosa	None	1	100.0%	7,567	100.0%	7,567	0.0	0.0	6.6	0.0	436	0.0%	0.1	0.0	0	0.0%	9.0	0.0	436	0.0%	2.2	0.0	0	0.0%
bacterium YEK0313	None	1	100.0%	327	100.0%	327	0.0	0.0	2.1	0.0	6	0.0%	0.1	0.0	0	0.0%	3.1	0.0	6	0.0%	0.9	0.0	0	0.0%
Pseudoxanthobacter soli	None	1	100.0%	10,746	100.0%	10,746	0.0	0.0	6.7	0.0	623	0.0%	0.1	0.0	1	0.0%	9.0	0.0	624	0.0%	2.3	0.0	0	0.0%
Azorhizobium sp. 35-67-15	None	1	100.0%	2,450	100.0%	2,450	0.0	0.0	6.6	0.0	140	0.0%	0.1	0.0	0	0.0%	9.0	0.0	140	0.0%	2.3	0.0	0	0.0%
Rhizobiaceae bacterium CPCC 101076	None	1	100.0%	6,877	100.0%	6,877	0.0	0.0	8.2	0.0	489	0.0%	0.1	0.0	0	0.0%	11.1	0.0	489	0.0%	2.8	0.0	0	0.0%
Xanthobacter sp. 17-67-6	None	4	100.0%	11,598	100.0%	6,987	0.0	0.0	5.4	0.8	591	0.0%	0.1	0.0	1	0.0%	7.3	1.0	592	0.0%	1.9	0.2	0	0.0%
Bosea sp. UNC402CLCol	None	1	100.0%	2,881	100.0%	2,881	0.0	0.0	7.1	0.0	177	0.0%	0.1	0.0	0	0.0%	9.6	0.0	177	0.0%	2.4	0.0	0	0.0%
Ancylobacter aquaticus	None	4	100.0%	1,066	100.0%	268	0.0	0.0	1.4	0.1	13	0.0%	0.1	0.0	0	0.0%	2.2	0.1	13	0.0%	0.7	0.0	0	0.0%
Rhodospirillum rubrum	None	1	100.0%	3,765	100.0%	3,765	0.0	0.0	6.2	0.0	202	0.0%	0.1	0.0	0	0.0%	8.4	0.0	202	0.0%	2.1	0.0	0	0.0%
Rhizobiales bacterium Sp-1	None	2	100.0%	6,014	100.0%	4,370	0.0	0.0	7.8	1.2	378	0.0%	0.1	0.0	0	0.0%	10.6	1.7	378	0.0%	2.7	0.5	0	0.0%
